district,trump16_margin,obama12_margin,house_dem18_margin,house_dem_avg_margin,rpt,incumbent_party,safety,house_dem20_margin,house20_winner,govtrack_ideology,last_name
IA-1,0.035,0.137,0.0505620162576329,0.0261160096648644,0.9,D,Vulnerable,-0.0259999999999999,Rep,0.4235221217437263,b'Finkenauer'
IA-2,0.041,0.1309999999999999,0.1219476340068964,0.0946527336080697,0.89,D,Vulnerable,0.0,Tie,0.4256938352466298,b'Loebsack'
IA-3,0.035,0.0419999999999999,0.0216398449364334,-0.0768136024015464,0.95,D,Vulnerable,0.0139999999999999,Dem,0.5043047673654196,b'Axne'
IA-4,0.2739999999999999,-0.081,-0.0332959830934299,-0.1434432880633903,0.86,R,Safe,-0.242,Rep,0.7660430870648315,b'King'
ID-1,0.383,-0.327,-0.3199203983889243,-0.3263980375705354,1.0,R,Safe,-0.39,Rep,0.5883985723747671,b'Fulcher'
ID-2,0.247,-0.3099999999999999,-0.2134043576633233,-0.2697514310352078,0.98,R,Safe,-0.31,Rep,0.5161185201299008,b'Simpson'
IL-1,-0.54,0.5870000000000001,0.5374488628652306,0.4893941541434375,0.77,D,Safe,0.448,Dem,0.1874554758161163,b'Rush'
IL-2,-0.589,0.622,0.6211110686033217,0.5470327283809208,0.78,D,Safe,0.55,Dem,0.2313614986689691,b'Kelly'
IL-3,-0.153,0.1329999999999999,0.4709000868654123,0.5328517241952611,0.82,D,Safe,0.09,Dem,0.3938206647606239,b'Lipinski'
IL-4,-0.689,0.638,0.731703060972748,0.738677120232708,0.79,D,Safe,0.6659999999999999,Dem,0.083132613176245,b'Garc\xc3\xada'
IL-5,-0.466,0.342,0.5332908204391487,0.4086261641660613,0.8,D,Safe,0.4009999999999999,Dem,0.2503395864336995,b'Quigley'
IL-6,-0.07,-0.0819999999999999,0.0715051070547732,-0.160027322934579,0.94,D,Safe,0.063,Dem,0.2453531091719252,b'Casten'
IL-7,-0.782,0.754,0.7523015882684989,0.7188864734840615,0.73,D,Safe,0.672,Dem,0.2201075343791,b'Davis'
IL-8,-0.217,0.165,0.3194945390535035,0.1737908637152412,0.88,D,Safe,0.721,Dem,0.3120232145429415,b'Krishnamoorthi'
IL-9,-0.4519999999999999,0.317,0.4697245747388505,0.3618314120829788,0.76,D,Safe,0.3759999999999999,Dem,0.0282623092162234,b'Schakowsky'
IL-10,-0.294,0.1639999999999999,0.3118023665068883,0.0876319254889314,0.83,D,Safe,0.248,Dem,0.3377523169242551,b'Schneider'
IL-11,-0.235,0.1719999999999999,0.2768160165082431,0.1815969741780649,0.94,D,Safe,0.262,Dem,0.2996319635867131,b'Foster'
IL-12,0.1479999999999999,0.016,-0.0617871631051107,-0.0561192000811654,0.89,R,Safe,-0.2099999999999999,Rep,0.7298076355186468,b'Bost'
IL-13,0.055,-0.0029999999999999,-0.0075946284056815,-0.0943539540106288,0.9,R,Vulnerable,-0.094,Rep,0.7195606314489862,b'Davis'
IL-14,0.039,-0.1,0.0500371804750352,-0.1551733747739769,0.98,D,Safe,0.002,Dem,0.2874877361772599,b'Underwood'
IL-15,0.462,-0.298,-0.4185510625645519,-0.5722839982974167,0.89,R,Safe,-0.434,Rep,0.6094690696409003,b'Shimkus'
IL-16,0.172,-0.0769999999999999,-0.1824880289260236,-0.4576727092442343,0.94,R,Safe,-0.301,Rep,0.6420655460152763,b'Kinzinger'
IL-17,0.0069999999999999,0.17,0.2418682997532089,0.1557067341051835,0.91,D,Vulnerable,0.0379999999999999,Dem,0.3426124094224254,b'Bustos'
IL-18,0.273,-0.233,-0.3446689063288186,-0.4412546777317361,0.94,R,Safe,-0.41,Rep,0.7117680565312023,b'LaHood'
IN-1,-0.126,0.238,0.3018527052432823,0.4281685885721857,0.96,D,Safe,0.161,Dem,0.3311291208556533,b'Visclosky'
IN-2,0.2319999999999999,-0.14,-0.0967106326647414,-0.1352451982001001,0.95,R,Safe,-0.2279999999999999,Rep,0.7477125588814096,b'Walorski'
IN-3,0.3499999999999999,-0.2679999999999999,-0.2945258759372315,-0.3743093077218056,0.91,R,Safe,-0.3959999999999999,Rep,0.7958462654835964,b'Banks'
IN-4,0.3409999999999999,-0.24,-0.2812005090787066,-0.3094478145274149,0.99,R,Safe,-0.3319999999999999,Rep,0.6837458187131722,b'Baird'
IN-5,0.118,-0.1679999999999999,-0.1352336392613588,-0.2396158552750089,1.0,R,Vulnerable,-0.041,Rep,0.6589767457464144,b'Brooks'
